Component,Property 1,Property 2,Property 3,Property 4,Property 5,Property 6,Property 7,Property 8,Property 9,Property 10

Storage,Baracuda 500GB HDD,Sata,,,,,,,,
Storage,Baracuda 1tb HDD,Sata,,,,,,,,
Storage,Samsung 860 EVO SATA III SSD,Sata,,,,,,,,
Storage,Crucial MX500 SATA III SSD,Sata,,,,,,,,
Storage,WD Blue 3D NAND SATA SSD,Sata,,,,,,,,
Storage,SanDisk Ultra 3D SATA III SSD,Sata,,,,,,,,
Storage,Samsung 970 EVO Plus NVMe M.2 SSD,m.2,,,,,,,,
Storage,WD Black NVMe M.2 SSD,m.2,,,,,,,,
Storage,Crucial P5 NVMe M.2 SSD,m.2,,,,,,,,
Storage,Sabrent Rocket NVMe M.2 SSD,m.2,,,,,,,,